  4;81a ;AS  ;Dresden-Hellerau                                  ;81b ;AS  ;Dresden-Flughafen                                 ; 2,1;11
  4;81b ;AS  ;Dresden-Flughafen                                 ;82  ;AD  ;Dresden-Nord, Dreieck                             ; 1,4;11
  4;82  ;AD  ;Dresden-Nord, Dreieck                             ;83  ;AS  ;Hermsdorf                                         ; 6,6;11
  4;83  ;AS  ;Hermsdorf                                         ;84  ;AS  ;Ottendorf-Okrilla                                 ; 2,4;11
  4;84  ;AS  ;Ottendorf-Okrilla                                 ;85  ;AS  ;Pulsnitz                                          ; 8,6;11
  4;85  ;AS  ;Pulsnitz                                          ;86  ;AS  ;Ohorn                                             ; 5,8;11
  4;86  ;AS  ;Ohorn                                             ;87  ;AS  ;Burkau                                            ; 6,6;11
  4;87  ;AS  ;Burkau                                            ;88a ;AS  ;Uhyst a.T.                                        ; 6,3;11
  4;88a ;AS  ;Uhyst a.T.                                        ;88b ;AS  ;Salzenforst                                       ;10,2;11
  4;88b ;AS  ;Salzenforst                                       ;89  ;AS  ;Bautzen-West                                      ; 4,0;11
  4;89  ;AS  ;Bautzen-West                                      ;90  ;AS  ;Bautzen-Ost                                       ; 3,9;11
  4;90  ;AS  ;Bautzen-Ost                                       ;91  ;AS  ;Weißenberg                                        ;14,5;11
  4;91  ;AS  ;Weißenberg                                        ;92  ;AS  ;Nieder Seifersdorf                                ; 7,1;11
  4;92  ;AS  ;Nieder Seifersdorf                                ;93  ;AS  ;Kodersdorf                                        ;11,0;11
  4;93  ;AS  ;Kodersdorf                                        ;94  ;AS  ;Görlitz                                           ; 4,8;11
  4;94  ;AS  ;Görlitz                                           ;95  ;BG  ;Görlitz, Bundesgrenze                             ; 3,7;11
  9;1   ;AD  ;Potsdam, Dreieck                                  ;2   ;AS  ;Beelitz-Heilstätten                               ; 2,4;11
  9;2   ;AS  ;Beelitz-Heilstätten                               ;3   ;AS  ;Beelitz                                           ; 6,4;11
  9;3   ;AS  ;Beelitz                                           ;4   ;AS  ;Brück                                             ;10,6;11
  9;4   ;AS  ;Brück                                             ;5   ;AS  ;Niemegk                                           ; 9,4;11
  9;5   ;AS  ;Niemegk                                           ;6   ;AS  ;Klein Marzehns                                    ;12,0;11
  9;6   ;AS  ;Klein Marzehns                                    ;7   ;AS  ;Köselitz                                          ;10,3;11
  9;7   ;AS  ;Köselitz                                          ;8   ;AS  ;Coswig                                            ; 9,4;11
  9;8   ;AS  ;Coswig                                            ;9   ;AS  ;Vockerode                                         ; 7,0;11
  9;9   ;AS  ;Vockerode                                         ;10  ;AS  ;Dessau-Ost                                        ; 3,2;11
  9;10  ;AS  ;Dessau-Ost                                        ;11  ;AS  ;Dessau-Süd                                        ; 9,6;11
  9;11  ;AS  ;Dessau-Süd                                        ;12  ;AS  ;Wolfen                                            ;13,2;11
  9;12  ;AS  ;Wolfen                                            ;13  ;AS  ;Halle a.d. Saale                                  ; 9,6;11
  9;13  ;AS  ;Halle a.d. Saale                                  ;14  ;AS  ;Wiedemar                                          ; 9,8;11
  9;14  ;AS  ;Wiedemar                                          ;15  ;AK  ;Schkeuditzer Kreuz                                ; 4,4;11
  9;15  ;AK  ;Schkeuditzer Kreuz                                ;16  ;AS  ;Großkugel                                         ; 3,3;11
  9;16  ;AS  ;Großkugel                                         ;17  ;AS  ;Leipzig-West                                      ; 6,0;11
  9;17  ;AS  ;Leipzig-West                                      ;18  ;AS  ;Bad Dürrenberg                                    ; 7,3;11
  9;18  ;AS  ;Bad Dürrenberg                                    ;19  ;AK  ;Rippachtal, Kreuz                                 ; 7,8;11
